Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52;Column53;Column54;Column55;Column56;Column57;Column58;Column59
All Denmark;Total propellant;22469;19719;22566;21652;25971;25771;18376;23650;14521;19860;21126;16627;24036;21167;29541;19044;22050;23608;18643;21765;18412;21067;21079;18295;21469;17554;17954;12090;13355;20379;21094;20397;20201;18025;21107;26386;12377;12614;27639;18324;19875;23614;15416;18498;16780;14865;17317;20744;11584;12727;17634;13397;15936;17291;11460;15432;15526
All Denmark;Petrol;12397;11002;12758;12336;14792;14817;11141;13136;8349;11156;12080;9275;15265;13348;18586;11522;13496;14429;11676;13259;11019;12929;12472;9821;11946;10310;9769;6897;8176;11988;12013;11004;10546;9236;10166;10435;6315;6173;14037;9573;9921;10750;7534;7816;6550;5885;6721;6012;5711;5850;8092;6768;7646;7979;4991;6935;6413
All Denmark;Diesel;9672;8420;9437;8838;10828;10536;6806;9818;5849;8378;8594;7001;8075;7190;10017;6868;7918;8277;6409;7827;6244;7375;7769;7270;8175;6116;6389;4274;4203;6119;6032;5877;5917;6007;6867;8480;3998;4660;6732;4844;5169;5850;3445;4101;3638;3433;3639;4171;2880;3302;4194;3219;3545;3762;2512;3508;3686
All Denmark;Electricity;43;51;112;164;130;144;54;195;195;175;219;251;262;230;545;483;437;736;279;352;736;338;399;936;561;521;1139;389;382;847;496;1042;2377;1141;1837;3939;601;401;2154;1057;1239;2419;1454;3153;3300;2243;3292;5012;1762;1818;2706;1539;2323;2734;2052;2642;3193
All Denmark;Pluginhybrid;357;246;259;314;221;274;375;501;128;151;233;100;434;399;393;171;199;166;279;327;413;425;439;268;787;607;657;530;594;1425;2553;2474;1361;1641;2237;3532;1463;1380;4716;2850;3546;4595;2983;3428;3292;3304;3665;5549;1231;1757;2642;1871;2422;2816;1905;2347;2234
